"Group.1","home_wp","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","rush_attempt","pass_attempt","penalty_yards","drive_play_count","drive_time_of_possession1","third_conversion1","fourth_conversion1","timeout","penalty"
"Jon Gruden_2018",0.427078597382564,4.30350751610594,0.461274845784784,0.0753941055517478,0.434907010014306,0.0137080191912269,0.308518253400143,0.423049391553329,9.15503875968992,7.67385257301808,219.298331015299,0.442211055276382,0.533333333333333,68,130
"Jon Gruden_2019",0.617325210732746,4.35665914221219,0.430515759312321,0.0687679083094556,0.434358589647412,0.0143266475644699,0.316027088036117,0.421369450714823,8.47826086956522,7.67727930535456,222.182344428365,0.448979591836735,0.642857142857143,63,116
"Jon Gruden_2020",0.503119926914019,4.53428571428571,0.478082191780822,0.0657534246575342,0.448644793152639,0.0157534246575342,0.310714285714286,0.437857142857143,9.45263157894737,8.56650585802895,234.34527911785,0.507537688442211,0.842105263157895,63,96
"Kevin Stefanski_2020",0.649001105835929,4.07795100222717,0.438907849829352,0.0307167235494881,0.426874536005939,0.0232081911262799,0.353377876763177,0.40460282108389,8.6144578313253,8.44960686204432,231.869907076483,0.444444444444444,0.75,61,84
"Kliff Kingsbury_2019",0.394403862165695,4.21875,0.524904214559387,0.141123882503193,0.450284090909091,0.0229885057471264,0.306818181818182,0.431818181818182,7.91428571428571,7.91969800960879,211.968428277282,0.444444444444444,0.533333333333333,70,106
"Kliff Kingsbury_2020",0.509987987895665,4.33488681757656,0.568112400733048,0.183872938301772,0.452191235059761,0.0244349419670128,0.305592543275633,0.432090545938748,7.95535714285714,7.64652956298201,198.28470437018,0.381188118811881,0.724137931034483,76,113
"Kyle Shanahan_2018",0.577916724377509,3.88295537673738,0.385423966362999,0.0399439383321654,0.425438596491228,0.00840925017519271,0.316020482809071,0.419897585954645,8.52991452991453,7.04661016949153,195.543785310734,0.385714285714286,0.5,65,118
"Kyle Shanahan_2019",0.692991092656046,3.70129107981221,0.4,0.0471910112359551,0.420527859237537,0.0140449438202247,0.318661971830986,0.408450704225352,8.96,6.61990950226244,192.126696832579,0.344398340248963,0.352941176470588,87,126
"Kyle Shanahan_2020",0.423381552197791,4.03754512635379,0.462423832092079,0.0880162491536899,0.456380677721701,0.015572105619499,0.302527075812274,0.44187725631769,8.82558139534884,7.28301886792453,201.429070580014,0.353846153846154,0.5,65,87
"Marvin Lewis_2018",0.535646616658339,4.1780436312456,0.472259810554804,0.0006765899864682,0.447257383966245,0.0142083897158322,0.294159042927516,0.439831104855735,8.34426229508197,7.31126279863481,197.302389078498,0.401913875598086,0.684210526315789,62,123
"Matt LaFleur_2019",0.716437615385272,4.44195250659631,0.448798988621997,0.0644753476611884,0.446934739617666,0.0208596713021492,0.322559366754617,0.428759894459103,8.5,7.72027972027972,213.716465352829,0.424657534246575,0.4375,73,105
"Matt LaFleur_2020",0.699753941525269,4.3726443768997,0.458940011648224,0.0541642399534071,0.450516089860352,0.0209668025626092,0.324620060790274,0.432218844984802,8.51086956521739,8.18687756297598,238.23374340949,0.449781659388646,0.586206896551724,84,93
"Matt Nagy_2018",0.736806126910248,3.82402597402597,0.532596041909197,0.070430733410943,0.481193255512322,0.0238649592549476,0.288961038961039,0.458441558441558,8.20588235294118,7.18193224592221,198.638017565872,0.373913043478261,0.789473684210526,82,103
"Matt Nagy_2019",0.560613407617209,3.47605224963716,0.508463541666667,0.0930989583333333,0.477882523567803,0.017578125,0.277939042089985,0.462989840348331,7.79439252336449,7.47231955150666,204.148563419762,0.322429906542056,0.434782608695652,71,108
"Matt Nagy_2020",0.544555200457697,3.82326951399116,0.457425742574257,0.0547854785478548,0.465833945628215,0.0138613861386139,0.290868924889543,0.455081001472754,8.77906976744186,7.78389830508475,217.976694915254,0.375,0.607142857142857,67,87
"Matt Patricia_2018",0.516597277049678,4.00898876404494,0.475985663082437,0.0688172043010753,0.455563853622106,0.00645161290322581,0.29438202247191,0.450936329588015,9.20833333333333,7.08701957940537,202.540971718637,0.360824742268041,0.4375,61,97
"Matt Patricia_2019",0.517229546353915,4.56426553672316,0.474932249322493,0.0399728997289973,0.47112676056338,0.018970189701897,0.299435028248588,0.453389830508475,8.65254237288136,7.64392905866303,202.113915416098,0.470873786407767,0.461538461538462,58,119
"Matt Patricia_2020",0.486578260079492,4.24071991001125,0.481121898597627,0.0539374325782093,0.452914798206278,0.0151024811218986,0.307086614173228,0.440944881889764,9.61016949152542,7.81650380021716,202.586319218241,0.453846153846154,0.692307692307692,37,60
"Matt Rhule_2020",0.461046004529204,4.09735849056604,0.458755426917511,0.060781476121563,0.450980392156863,0.0274963820549928,0.329056603773585,0.424150943396226,8.1046511627907,7.72469045884923,216.847050254916,0.386243386243386,0.476190476190476,62,87
"Mike McCarthy_2018",0.607955687902687,4.08555133079848,0.505454545454545,0.0863636363636364,0.485308056872038,0.0263636363636364,0.271863117870722,0.461026615969582,7.7910447761194,7.30147058823529,200.614889705882,0.357575757575758,0.5,54,68
